Model,Precision,Recall,F1-Score,Accuracy,Final_Loss
ner_model_after_epoch_2,0.709,0.716,0.702,0.982,10536.0177
ner_model_after_epoch_10,0.714,0.696,0.697,0.984,1262.4393
ner_model_after_epoch_3,0.703,0.709,0.696,0.982,6020.7877
ner_model_after_epoch_7,0.696,0.7,0.69,0.982,1992.7595
ner_model_after_epoch_5,0.693,0.706,0.689,0.982,3029.6545
ner_model_after_epoch_1,0.695,0.703,0.688,0.982,28807.1266
ner_model_after_epoch_4,0.7,0.692,0.688,0.984,4086.5844
ner_model_after_epoch_6,0.697,0.699,0.688,0.982,2415.4942
ner_model_after_epoch_9,0.694,0.699,0.686,0.98,1615.4345
ner_model_after_epoch_8,0.692,0.699,0.685,0.982,1724.0625
