text,correct_location,re_matched_labels,spacy_custom_LOC_labels,spacy_base_LOC_labels,bert_ner_labels,all_words
Der Kanton Zelwingen bietet eine einzigartige Mischung aus alpiner Landschaft und modernster Infrastruktur für Touristen und Einheimische.,['Kanton Zelwingen'],['not_found'],['Kanton Zelwingen'],['Kanton Zelwingen'],['Kanton Zelwingen'],"['Der', 'Kanton', 'Zelwingen', 'bietet', 'eine', 'einzigartige', 'Mischung', 'aus', 'alpiner', 'Landschaft', 'und', 'modernster', 'Infrastruktur', 'für', 'Touristen', 'und', 'Einheimische']"
Die Stadt Fichtenwald ist für ihre gut erhaltene Altstadt und die zahlreichen Wanderwege in den umliegenden Wäldern bekannt.,['Stadt Fichtenwald'],['not_found'],['Stadt Fichtenwald'],['Fichtenwald'],['Fichtenwald'],"['Die', 'Stadt', 'Fichtenwald', 'ist', 'für', 'ihre', 'gut', 'erhaltene', 'Altstadt', 'und', 'die', 'zahlreichen', 'Wanderwege', 'in', 'den', 'umliegenden', 'Wäldern', 'bekannt']"
Die Gemeinde Auenbach hat einen hohen Anteil an landwirtschaftlich genutztem Boden und ist für ihre traditionellen Märkte bekannt.,['Gemeinde Auenbach'],['not_found'],['Gemeinde Auenbach'],['Auenbach'],['Gemeinde Auenbach'],"['Die', 'Gemeinde', 'Auenbach', 'hat', 'einen', 'hohen', 'Anteil', 'an', 'landwirtschaftlich', 'genutztem', 'Boden', 'und', 'ist', 'für', 'ihre', 'traditionellen', 'Märkte', 'bekannt']"
"Im Kanton Zellberg befindet sich eines der größten Naturreservate der Schweiz, das jedes Jahr zahlreiche Naturliebhaber anzieht.","['Kanton Zellberg', 'Schweiz']",['Schweiz'],"['Kanton Zellberg', 'Schweiz']","['der Schweiz', 'Kanton Zellberg']","['Kanton Zellberg', 'Schweiz']","['Im', 'Kanton', 'Zellberg', 'befindet', 'sich', 'eines', 'der', 'größten', 'Naturreservate', 'der', 'Schweiz', 'das', 'jedes', 'Jahr', 'zahlreiche', 'Naturliebhaber', 'anzieht']"
"Die Stadt Märchental ist berühmt für ihre mittelalterlichen Bauwerke und ihre Festivals, die Besucher aus dem In- und Ausland anlocken.",['Stadt Märchental'],['not_found'],['Stadt Märchental'],['Märchental'],['Märchental'],"['Die', 'Stadt', 'Märchental', 'ist', 'berühmt', 'für', 'ihre', 'mittelalterlichen', 'Bauwerke', 'und', 'ihre', 'Festivals', 'die', 'Besucher', 'aus', 'dem', 'In', 'und', 'Ausland', 'anlocken']"
Die Gemeinde Tannenheim ist bekannt für ihre wunderschönen Bergwiesen und die idyllische Lage inmitten der Schweizer Alpen.,['Gemeinde Tannenheim'],['not_found'],['Gemeinde Tannenheim'],"['Schweizer Alpen', 'Tannenheim']","['Tannenheim', 'Schweizer Alpen']","['Die', 'Gemeinde', 'Tannenheim', 'ist', 'bekannt', 'für', 'ihre', 'wunderschönen', 'Bergwiesen', 'und', 'die', 'idyllische', 'Lage', 'inmitten', 'der', 'Schweizer', 'Alpen']"
Der Kanton Hohenstein ist für seine herausragende Berglandschaft und das reichhaltige historische Erbe bekannt.,['Kanton Hohenstein'],['not_found'],['not_found'],['Kanton Hohenstein'],['Kanton Hohenstein'],"['Der', 'Kanton', 'Hohenstein', 'ist', 'für', 'seine', 'herausragende', 'Berglandschaft', 'und', 'das', 'reichhaltige', 'historische', 'Erbe', 'bekannt']"
Weidendorf liegt in einer fruchtbaren Ebene und ist ein Zentrum für nachhaltige Landwirtschaft und ökologische Projekte.,['Weidendorf'],['not_found'],['Weidendorf'],['Weidendorf'],['Weidendorf'],"['Weidendorf', 'liegt', 'in', 'einer', 'fruchtbaren', 'Ebene', 'und', 'ist', 'ein', 'Zentrum', 'für', 'nachhaltige', 'Landwirtschaft', 'und', 'ökologische', 'Projekte']"
Die Stadt Schneebach bietet ein einzigartiges Wintersportangebot und zieht sowohl Familien als auch Profisportler an.,['Stadt Schneebach'],['not_found'],['Stadt Schneebach'],['Schneebach'],['Schneebach'],"['Die', 'Stadt', 'Schneebach', 'bietet', 'ein', 'einzigartiges', 'Wintersportangebot', 'und', 'zieht', 'sowohl', 'Familien', 'als', 'auch', 'Profisportler', 'an']"
"Im Kanton Felsenau finden sich zahlreiche Sehenswürdigkeiten, darunter historische Schlösser und ein malerischer See.",['Kanton Felsenau'],['See'],"['Kanton Felsenau', 'See']",['Kanton Felsenau'],"['Kanton Felsenau', 'See']","['Im', 'Kanton', 'Felsenau', 'finden', 'sich', 'zahlreiche', 'Sehenswürdigkeiten', 'darunter', 'historische', 'Schlösser', 'und', 'ein', 'malerischer', 'See']"
