Model,Precision,Recall,F1-Score,Accuracy,Final_Loss
ner_model_after_epoch_4,0.809,0.851,0.814,0.974,4086.5844
ner_model_after_epoch_10,0.813,0.844,0.814,0.973,1262.4393
ner_model_after_epoch_3,0.792,0.849,0.802,0.972,6020.7877
ner_model_after_epoch_7,0.791,0.847,0.802,0.97,1992.7595
ner_model_after_epoch_8,0.791,0.851,0.801,0.971,1724.0625
ner_model_after_epoch_9,0.791,0.844,0.799,0.97,1615.4345
ner_model_after_epoch_2,0.781,0.841,0.793,0.971,10536.0177
ner_model_after_epoch_6,0.784,0.836,0.791,0.971,2415.4942
ner_model_after_epoch_5,0.778,0.842,0.79,0.971,3029.6545
ner_model_after_epoch_1,0.774,0.831,0.783,0.973,28807.1266
