Identifier,Title
d9e6d06a-bc9f-4b1c-8801-7581f211a5b6,"Geodatenmodell ""RAMSAR_V1"""
912a5fc8-904a-4935-8722-a608a21605cb,SBAS-Auswertung von SAR SENTINEL-1 Daten im Zeitraum 2015-2019 im Orbit 66
5276ec07-23a6-472a-9989-aaa83b867cf3,"Geodatenmodell ""Kant_Gewaesserzustand_V1_2"""
68201a0e-566a-486a-9716-c7ec58399428,"Geodatenmodell ""Amphibien_Wanderobjekte_V1"""
30c5e96f-551d-4d5b-8935-3cf5bcb32a58,"Geodatenmodell ""kt_Amphibien_Laichgebiete_Codelisten_V1_1"""
78593887-dc2e-47c8-8959-17cb19d8e0ae,"Geodatenmodell ""Perimeter_LN_Soemmerungsflaechen_Kataloge_V1_3"""
dbb8b31b-98db-43d5-bdda-14cfcae6fcc4,"Geodatenmodell ""Trockenwiesen_LV03_V1_1"""
8551d46c-2d20-48c6-8eeb-0f22852d8cfc,Etudes géotechniques - Ville de Fribourg
0771901c-9080-487e-89e0-02a813cd7f49,"Geodatenmodell ""RoadTrafficCensusLV03_V1"""
16991a9f-90a7-4e46-883f-bf04da66e0f0,"Geodatenmodell ""swissTLM3D_ili2_LV95_V1_7"""
08752e00-6736-4468-abcd-275c0b61e809,"Geodatenmodell ""LFI_Kanton_V1_1"""
dfbfd366-a37b-426d-a6c3-ac63db5a52df,RDP Leitungskataster Fernwärme Adligenswil
cb3e3a62-2c69-4161-b947-38a226353a38,Gemeindestrassenachsen
8a703b8a-47af-494e-9b34-4460e888ed07,Wärmenachfrage 2035 pro Gebäude
82d36e3f-a3f2-4a2e-bc7d-5856dcb40bd6,Kommunaler Nutzungsplan (Gemeinde Pfeffingen)
58867531-2b39-420a-997a-f1b21affddac,"Geodatenmodell ""HaltestellenOeV_LV95_V1_3"""
faf35b56-66ac-4970-b914-dd3986a5d675,Surfaces faisant l’objet une garantie financière pour l’exploitation de matériaux
f8f9f6aa-5210-4b9c-8c48-884a2279ba84,MNA EXPOSITION 2023 (pixel 0.2 m)
a36d4496-ace2-45ff-9e37-177b1631d2c5,RDP Zonenplan Ballwil
c197183d-a2f3-489e-a1e2-20fe82619068,"Geodatenmodell ""SectoralPlanForRailwayInfrastructure_LV03_V1_4"""
a7a1c79f-1892-47cf-ba85-5990a2a98eae,"Geodatenmodell ""LFI_Hochtieflage_V1"""
4cf07ef1-6012-4523-93b5-151a4674fb05,"Geodatenmodell ""ErgebnisseBodenbelastung_Punktdaten_LV03_V1"""
0a209a64-c6d9-43b6-87ef-0153c7e2f69c,Courbes de niveau 2010
